analysis,attribute,scheme,per,q1,q2,q3,q4,q4_over_q1,lo,hi
tract:arterial:road,black,national,road,2.0339,4.9887,8.1645,8.5387,4.1981,3.6643,4.7403
tract:arterial:road,black,within county,road,1.0,1.2679,1.456,1.7394,1.7394,1.5862,1.9237
tract:arterial:road,black,county x density,road,1.0,1.0641,1.1299,1.2748,1.2748,1.1922,1.365
tract:arterial:road,hispanic,national,road,2.5397,4.382,7.1037,8.7412,3.4419,2.8504,4.0623
tract:arterial:road,hispanic,within county,road,1.0,1.161,1.274,1.4865,1.4865,1.3609,1.6238
tract:arterial:road,hispanic,county x density,road,1.0,1.0336,1.0762,1.1618,1.1618,1.0831,1.246
tract:residential-street:road,income,national,road,0.265,0.2045,0.3615,0.7542,2.8461,2.4162,3.3195
tract:residential-street:road,income,within county,road,1.0,0.6833,0.6251,0.6375,0.6375,0.5567,0.7191
tract:residential-street:road,income,county x density,road,1.0,0.8065,0.7695,0.7559,0.7559,0.661,0.8544
tract:residential-street:road,black,national,road,0.113,0.3215,0.6038,0.7673,6.7918,5.7964,7.925
tract:residential-street:road,black,within county,road,1.0,1.3455,1.5228,1.8827,1.8827,1.6499,2.1772
tract:residential-street:road,black,county x density,road,1.0,1.2563,1.3705,1.5881,1.5881,1.407,1.8064
tract:residential-street:road,hispanic,national,road,0.1734,0.3296,0.5143,0.5398,3.1136,2.4518,3.8861
tract:residential-street:road,hispanic,within county,road,1.0,1.0732,1.2243,1.465,1.465,1.2932,1.669
tract:residential-street:road,hispanic,county x density,road,1.0,0.9891,1.1109,1.269,1.269,1.1242,1.4465
tract:op=police:road,income,national,road,0.1314,0.0772,0.115,0.2324,1.7685,1.2328,2.4795
tract:op=police:road,income,within county,road,1.0,0.6155,0.4453,0.3996,0.3996,0.3208,0.4885
tract:op=police:road,income,county x density,road,1.0,0.688,0.5789,0.5689,0.5689,0.4711,0.6949
tract:op=police:road,black,national,road,0.0466,0.1341,0.2109,0.2483,5.3304,3.6245,7.6313
tract:op=police:road,black,within county,road,1.0,1.4309,2.0218,2.7102,2.7102,2.1959,3.4146
tract:op=police:road,black,county x density,road,1.0,1.1904,1.4953,1.8703,1.8703,1.5161,2.2971
tract:op=police:road,hispanic,national,road,0.0687,0.1232,0.1808,0.203,2.9549,1.9127,4.7648
tract:op=police:road,hispanic,within county,road,1.0,1.1371,1.2447,1.7263,1.7263,1.4144,2.1387
tract:op=police:road,hispanic,county x density,road,1.0,0.9717,1.0184,1.2171,1.2171,1.0415,1.4395
tract:op=business:road,income,national,road,0.0259,0.023,0.0344,0.0417,1.6059,1.3102,1.9769
tract:op=business:road,income,within county,road,1.0,0.9157,0.6597,0.482,0.482,0.3993,0.5743
tract:op=business:road,income,county x density,road,1.0,0.7924,0.7245,0.5596,0.5596,0.4622,0.6834
tract:op=business:road,black,national,road,0.0112,0.0317,0.0585,0.0479,4.2591,3.4444,5.2898
tract:op=business:road,black,within county,road,1.0,2.032,2.4338,2.8334,2.8334,2.3105,3.5236
tract:op=business:road,black,county x density,road,1.0,1.6779,1.8202,2.2365,2.2365,1.8118,2.7701
tract:op=business:road,hispanic,national,road,0.0139,0.0272,0.0465,0.0519,3.7419,2.6955,5.1206
tract:op=business:road,hispanic,within county,road,1.0,1.5623,1.8586,2.0976,2.0976,1.7032,2.5888
tract:op=business:road,hispanic,county x density,road,1.0,1.4055,1.5506,1.7071,1.7071,1.4116,2.0612
tract:op=transport:road,income,national,road,0.0053,0.004,0.0093,0.0208,3.9615,1.5865,10.5508
tract:op=transport:road,income,within county,road,1.0,1.0008,0.9576,0.97,0.97,0.5594,1.6639
tract:op=transport:road,income,county x density,road,1.0,0.8714,0.8137,0.8582,0.8582,0.4164,1.4039
tract:op=transport:road,black,national,road,0.0031,0.0069,0.0135,0.0202,6.5891,1.8159,11.6982
tract:op=transport:road,black,within county,road,1.0,0.9206,1.2976,1.4817,1.4817,0.6077,2.6143
tract:op=transport:road,black,county x density,road,1.0,0.9869,1.3299,1.5799,1.5799,0.6985,2.6892
tract:op=transport:road,hispanic,national,road,0.003,0.0057,0.017,0.0164,5.5231,2.1469,11.577
tract:op=transport:road,hispanic,within county,road,1.0,1.1679,1.1805,0.8748,0.8748,0.4503,1.7146
tract:op=transport:road,hispanic,county x density,road,1.0,1.086,1.3267,0.9129,0.9129,0.4885,1.8093
tract:op=municipal:road,income,national,road,0.0043,0.0044,0.0099,0.0168,3.9338,1.3871,9.6812
tract:op=municipal:road,income,within county,road,1.0,0.7152,0.9428,1.1475,1.1475,0.3837,2.4942
tract:op=municipal:road,income,county x density,road,1.0,1.1639,0.9516,1.4654,1.4654,0.4941,2.9804
tract:op=municipal:road,black,national,road,0.0058,0.0115,0.008,0.0051,0.8857,0.3974,2.2708
tract:op=municipal:road,black,within county,road,1.0,1.089,1.2044,1.7392,1.7392,0.766,3.7006
tract:op=municipal:road,black,county x density,road,1.0,1.0261,1.0145,0.9242,0.9242,0.4685,2.0777
tract:op=municipal:road,hispanic,national,road,0.0058,0.0072,0.006,0.0135,2.3471,0.7986,7.7756
tract:op=municipal:road,hispanic,within county,road,1.0,0.7073,0.9836,1.1678,1.1678,0.4246,2.9441
tract:op=municipal:road,hispanic,county x density,road,1.0,0.6484,0.6313,0.7302,0.7302,0.2566,2.0006
tract:entrance-or-HOA:road,income,national,road,0.0047,0.0055,0.0098,0.0191,4.0925,2.7318,6.4378
tract:entrance-or-HOA:road,income,within county,road,1.0,1.3286,0.9812,1.0295,1.0295,0.6976,1.5446
tract:entrance-or-HOA:road,income,county x density,road,1.0,1.3302,1.1904,1.3705,1.3705,0.9457,1.9904
tract:entrance-or-HOA:road,black,national,road,0.0033,0.009,0.0172,0.013,3.9761,2.7626,5.6072
tract:entrance-or-HOA:road,black,within county,road,1.0,1.4895,1.689,1.2692,1.2692,0.9338,1.7797
tract:entrance-or-HOA:road,black,county x density,road,1.0,1.2967,1.3271,1.0952,1.0952,0.8175,1.4749
tract:entrance-or-HOA:road,hispanic,national,road,0.0031,0.009,0.0145,0.0134,4.2761,2.6333,6.7534
tract:entrance-or-HOA:road,hispanic,within county,road,1.0,1.2899,1.2014,1.4026,1.4026,0.9935,2.004
tract:entrance-or-HOA:road,hispanic,county x density,road,1.0,1.2406,1.1437,1.2098,1.2098,0.8607,1.7626
tract:vendor=flock:road,income,national,road,0.9704,0.7365,1.0431,1.7739,1.828,1.5937,2.0704
tract:vendor=flock:road,income,within county,road,1.0,0.766,0.6607,0.6319,0.6319,0.5761,0.6865
tract:vendor=flock:road,income,county x density,road,1.0,0.8687,0.8187,0.7931,0.7931,0.7411,0.8445
tract:vendor=flock:road,black,national,road,0.4277,1.0249,1.726,2.0394,4.7683,4.1671,5.422
tract:vendor=flock:road,black,within county,road,1.0,1.3113,1.5159,1.8117,1.8117,1.653,1.997
tract:vendor=flock:road,black,county x density,road,1.0,1.1488,1.2349,1.4229,1.4229,1.3192,1.5316
tract:vendor=flock:road,hispanic,national,road,0.5719,0.9564,1.5015,1.7407,3.0439,2.4971,3.6808
tract:vendor=flock:road,hispanic,within county,road,1.0,1.1733,1.3019,1.5136,1.5136,1.3956,1.6502
tract:vendor=flock:road,hispanic,county x density,road,1.0,1.0703,1.1445,1.2435,1.2435,1.1579,1.3386
tract:vendor=other:road,income,national,road,0.1853,0.1115,0.1719,0.352,1.8994,1.4823,2.3695
tract:vendor=other:road,income,within county,road,1.0,0.6092,0.528,0.5625,0.5625,0.4494,0.6799
tract:vendor=other:road,income,county x density,road,1.0,0.7521,0.7145,0.7608,0.7608,0.6321,0.9032
tract:vendor=other:road,black,national,road,0.0748,0.1892,0.3213,0.3422,4.5715,3.6789,5.7294
tract:vendor=other:road,black,within county,road,1.0,1.344,1.5974,2.0984,2.0984,1.8198,2.4647
tract:vendor=other:road,black,county x density,road,1.0,1.0811,1.242,1.4392,1.4392,1.2701,1.6475
tract:vendor=other:road,hispanic,national,road,0.0921,0.1712,0.2829,0.315,3.4206,2.3501,4.8516
tract:vendor=other:road,hispanic,within county,road,1.0,1.1682,1.254,1.5154,1.5154,1.2952,1.7615
tract:vendor=other:road,hispanic,county x density,road,1.0,0.9793,1.0306,1.0993,1.0993,0.9662,1.2501
tract:vendor=untagged:road,income,national,road,0.0522,0.0332,0.0559,0.1459,2.7975,2.2044,3.5261
tract:vendor=untagged:road,income,within county,road,1.0,0.7296,0.6551,0.7361,0.7361,0.5842,0.9107
tract:vendor=untagged:road,income,county x density,road,1.0,0.7948,0.7312,0.9119,0.9119,0.7223,1.1215
tract:vendor=untagged:road,black,national,road,0.0287,0.0715,0.1023,0.0908,3.1649,2.2968,4.2207
tract:vendor=untagged:road,black,within county,road,1.0,1.3401,1.3827,1.4035,1.4035,1.1253,1.7456
tract:vendor=untagged:road,black,county x density,road,1.0,1.0083,1.0219,1.0976,1.0976,0.8843,1.3438
tract:vendor=untagged:road,hispanic,national,road,0.0365,0.0604,0.0848,0.0901,2.4688,1.7214,3.4513
tract:vendor=untagged:road,hispanic,within county,road,1.0,1.0184,1.0696,1.1843,1.1843,0.9553,1.5288
tract:vendor=untagged:road,hispanic,county x density,road,1.0,0.978,0.9113,0.9924,0.9924,0.8037,1.2794
tract:edge:arterial,black,within county,edge/interior,1.9668,1.7133,1.661,1.5237,0.7747,0.7268,0.8213
tract:edge:residential,black,within county,edge/interior,3.0855,2.2893,2.3518,2.0661,0.6696,0.5726,0.7996
tract:edge:all roads,black,within county,edge/interior,5.2377,4.4827,4.3435,4.0386,0.7711,0.7294,0.8114
tract:edge:arterial,black,county x density,edge/interior,1.6425,1.4941,1.4969,1.3924,0.8478,0.7999,0.8928
tract:edge:residential,black,county x density,edge/interior,2.8755,2.3782,2.1277,2.0326,0.7069,0.5931,0.8514
tract:edge:all roads,black,county x density,edge/interior,4.8236,4.2206,4.1292,3.8439,0.7969,0.7526,0.841
tract:edge:arterial,hispanic,within county,edge/interior,1.8239,1.7047,1.7476,1.6457,0.9023,0.8386,0.9608
tract:edge:residential,hispanic,within county,edge/interior,2.9973,2.5058,2.2897,1.9298,0.6438,0.56,0.7447
tract:edge:all roads,hispanic,within county,edge/interior,4.8005,4.5751,4.5315,4.2215,0.8794,0.8236,0.9366
tract:edge:arterial,hispanic,county x density,edge/interior,1.5588,1.5312,1.4687,1.4493,0.9297,0.8741,0.9822
tract:edge:residential,hispanic,county x density,edge/interior,2.9323,2.4164,2.2305,1.8056,0.6158,0.5303,0.706
tract:edge:all roads,hispanic,county x density,edge/interior,4.5207,4.34,4.1002,3.9913,0.8829,0.8235,0.9415
tract:edge:arterial,income,within county,edge/interior,1.67,1.7189,1.8015,1.7335,1.038,0.9732,1.1106
tract:edge:residential,income,within county,edge/interior,1.6761,2.1196,2.4756,3.5831,2.1378,1.8119,2.5077
tract:edge:all roads,income,within county,edge/interior,4.0757,4.3642,4.7571,5.0006,1.2269,1.1454,1.3222
tract:edge:arterial,income,county x density,edge/interior,1.4576,1.4823,1.508,1.5969,1.0956,1.0347,1.1653
tract:edge:residential,income,county x density,edge/interior,1.5225,2.1118,2.3627,3.7,2.4302,2.0453,2.8592
tract:edge:all roads,income,county x density,edge/interior,3.7527,4.1263,4.386,4.9674,1.3237,1.233,1.4229
tract:seam,black,0-10,rr,,,,,0.9779,0.9687,0.9867
tract:seam,black,10-20,rr,,,,,1.0613,1.0266,1.0995
tract:seam,black,20-30,rr,,,,,1.0988,1.0341,1.1674
tract:seam,black,30-50,rr,,,,,1.1038,1.0293,1.1928
tract:seam,black,50-101,rr,,,,,0.9623,0.8547,1.0886
tract:facing,black,>=30,share into higher-Black,,,,,0.498,521,467
tract:seam,hispanic,0-10,rr,,,,,0.9978,0.9868,1.0086
tract:seam,hispanic,10-20,rr,,,,,1.0418,1.0119,1.0719
tract:seam,hispanic,20-30,rr,,,,,0.9574,0.9018,1.0259
tract:seam,hispanic,30-50,rr,,,,,0.9302,0.8532,1.0234
tract:seam,hispanic,50-101,rr,,,,,0.9063,0.7669,1.0474
tract:facing,hispanic,>=30,share into higher-Hispanic,,,,,0.5028,366,406
tract:seam,income,0-0.25,rr,,,,,0.9734,0.9566,0.9895
tract:seam,income,0.25-0.5,rr,,,,,0.9958,0.9755,1.0156
tract:seam,income,0.5-1.0,rr,,,,,1.021,0.9978,1.0435
tract:seam,income,1.0-1.5,rr,,,,,1.0676,1.0114,1.1244
tract:seam,income,1.5-99,rr,,,,,1.1963,1.0587,1.3555
tract:facing,income,>=1.0,share into richer,,,,,0.4987,735,770
bg:all:road,income,national,road,1.2474,0.9034,1.157,2.094,1.6787,1.4922,1.8689
bg:all:road,income,within county,road,1.0,0.7298,0.6403,0.6304,0.6304,0.5778,0.6813
bg:all:road,income,county x density,road,1.0,0.8093,0.749,0.7417,0.7417,0.6914,0.7914
bg:all:road,black,national,road,0.6548,1.0214,2.0209,2.6016,3.9731,3.5712,4.4046
bg:all:road,black,within county,road,1.0,1.1991,1.4307,1.7204,1.7204,1.597,1.8586
bg:all:road,black,county x density,road,1.0,1.0943,1.2402,1.4444,1.4444,1.3589,1.5319
bg:all:road,hispanic,national,road,0.7391,1.1455,1.7289,2.2419,3.0331,2.564,3.5355
bg:all:road,hispanic,within county,road,1.0,1.0954,1.2268,1.4025,1.4025,1.2957,1.5139
bg:all:road,hispanic,county x density,road,1.0,1.0578,1.1022,1.2248,1.2248,1.1437,1.3038
bg:all:people,income,national,people,4.6933,4.0339,3.8734,4.0382,0.8604,0.7784,0.9367
bg:all:people,income,within county,people,1.0,0.8522,0.7983,0.8027,0.8027,0.7414,0.8678
bg:all:people,income,county x density,people,1.0,0.7722,0.6895,0.6522,0.6522,0.6055,0.6996
bg:all:people,black,national,people,3.5496,3.7663,4.4765,5.1306,1.4454,1.3292,1.5639
bg:all:people,black,within county,people,1.0,1.0164,1.0766,1.1381,1.1381,1.0776,1.201
bg:all:people,black,county x density,people,1.0,1.0366,1.1419,1.3082,1.3082,1.2357,1.3826
bg:all:people,hispanic,national,people,3.9122,4.2004,4.471,4.3171,1.1035,0.9807,1.2487
bg:all:people,hispanic,within county,people,1.0,0.9443,0.9526,0.9381,0.9381,0.8729,1.0085
bg:all:people,hispanic,county x density,people,1.0,0.9867,1.0053,1.1097,1.1097,1.0383,1.1807
bg:arterial:road,income,national,road,4.6611,3.3848,4.1829,8.3542,1.7923,1.585,2.0016
bg:arterial:road,income,within county,road,1.0,0.7322,0.6464,0.6506,0.6506,0.5977,0.7024
bg:arterial:road,income,county x density,road,1.0,0.8293,0.7823,0.8018,0.8018,0.7503,0.8553
bg:arterial:road,black,national,road,2.5319,3.8866,7.5831,8.9864,3.5493,3.1615,3.9404
bg:arterial:road,black,within county,road,1.0,1.1608,1.3508,1.6301,1.6301,1.5074,1.7674
bg:arterial:road,black,county x density,road,1.0,1.0349,1.1414,1.3066,1.3066,1.2332,1.3842
bg:arterial:road,hispanic,national,road,2.6934,4.2265,6.6224,8.9694,3.3301,2.8402,3.8555
bg:arterial:road,hispanic,within county,road,1.0,1.0776,1.1932,1.3969,1.3969,1.2959,1.5037
bg:arterial:road,hispanic,county x density,road,1.0,1.0304,1.0632,1.1702,1.1702,1.0991,1.2429
bg:residential-street:road,income,national,road,0.2772,0.2022,0.3288,0.6872,2.4792,2.1298,2.8639
bg:residential-street:road,income,within county,road,1.0,0.6713,0.618,0.67,0.67,0.5934,0.7474
bg:residential-street:road,income,county x density,road,1.0,0.7807,0.709,0.735,0.735,0.6598,0.8129
bg:residential-street:road,black,national,road,0.1435,0.2423,0.574,0.8117,5.6552,4.9315,6.4493
bg:residential-street:road,black,within county,road,1.0,1.2253,1.5221,1.8759,1.8759,1.6733,2.1139
bg:residential-street:road,black,county x density,road,1.0,1.1763,1.3847,1.6526,1.6526,1.4897,1.8247
bg:residential-street:road,hispanic,national,road,0.1812,0.3097,0.4843,0.5682,3.1362,2.5323,3.8504
bg:residential-street:road,hispanic,within county,road,1.0,1.0533,1.2405,1.3694,1.3694,1.2058,1.5581
bg:residential-street:road,hispanic,county x density,road,1.0,1.0557,1.1348,1.2768,1.2768,1.1234,1.4436
bg:edge:arterial,black,within county,edge/interior,2.1741,1.7565,1.7126,1.6974,0.7807,0.7309,0.8313
bg:edge:residential,black,within county,edge/interior,2.6446,2.3803,2.196,2.1289,0.805,0.7173,0.9104
bg:edge:all roads,black,within county,edge/interior,5.659,4.802,4.4885,4.4746,0.7907,0.7469,0.8349
bg:edge:arterial,black,county x density,edge/interior,1.7992,1.5351,1.462,1.5153,0.8422,0.7979,0.8891
bg:edge:residential,black,county x density,edge/interior,2.5038,2.401,2.2283,2.0117,0.8035,0.7212,0.9003
bg:edge:all roads,black,county x density,edge/interior,5.2762,4.735,4.2871,4.3009,0.8151,0.7724,0.8616
bg:edge:arterial,hispanic,within county,edge/interior,1.9603,1.8587,1.8495,1.77,0.9029,0.8419,0.9673
bg:edge:residential,hispanic,within county,edge/interior,2.6823,2.4437,2.2802,2.0392,0.7602,0.6756,0.862
bg:edge:all roads,hispanic,within county,edge/interior,5.2467,4.9573,4.7159,4.6357,0.8836,0.8333,0.939
bg:edge:arterial,hispanic,county x density,edge/interior,1.671,1.5652,1.5895,1.4971,0.8959,0.8382,0.9524
bg:edge:residential,hispanic,county x density,edge/interior,2.5327,2.3811,2.2485,1.9887,0.7852,0.6864,0.8949
bg:edge:all roads,hispanic,county x density,edge/interior,5.0172,4.7369,4.5998,4.2921,0.8555,0.8042,0.9086
bg:edge:arterial,income,within county,edge/interior,1.8788,1.7897,1.9059,1.835,0.9767,0.9138,1.0482
bg:edge:residential,income,within county,edge/interior,1.8882,2.1656,2.3108,2.9955,1.5864,1.371,1.8209
bg:edge:all roads,income,within county,edge/interior,4.5703,4.6058,5.0402,5.4301,1.1881,1.1175,1.2688
bg:edge:arterial,income,county x density,edge/interior,1.5404,1.5923,1.5852,1.693,1.0991,1.036,1.1707
bg:edge:residential,income,county x density,edge/interior,1.812,2.0514,2.4665,3.0139,1.6633,1.4415,1.9028
bg:edge:all roads,income,county x density,edge/interior,4.1498,4.5318,4.9266,5.5732,1.343,1.2617,1.4342
bg:seam,black,0-10,rr,,,,,0.9514,0.9413,0.9612
bg:seam,black,10-20,rr,,,,,1.1016,1.0721,1.1332
bg:seam,black,20-30,rr,,,,,1.1346,1.0871,1.1853
bg:seam,black,30-50,rr,,,,,1.1637,1.1111,1.2238
bg:seam,black,50-101,rr,,,,,1.1089,1.0228,1.2103
bg:facing,black,>=30,share into higher-Black,,,,,0.5072,1237,1230
bg:seam,hispanic,0-10,rr,,,,,0.971,0.9596,0.9819
bg:seam,hispanic,10-20,rr,,,,,1.0511,1.0311,1.0747
bg:seam,hispanic,20-30,rr,,,,,1.0743,1.0348,1.1212
bg:seam,hispanic,30-50,rr,,,,,1.0395,0.9905,1.1015
bg:seam,hispanic,50-101,rr,,,,,0.9816,0.9003,1.0846
bg:facing,hispanic,>=30,share into higher-Hispanic,,,,,0.4969,1136,1195
bg:seam,income,0-0.25,rr,,,,,0.9597,0.9437,0.9758
bg:seam,income,0.25-0.5,rr,,,,,0.9776,0.9599,0.9965
bg:seam,income,0.5-1.0,rr,,,,,1.0069,0.9907,1.0235
bg:seam,income,1.0-1.5,rr,,,,,1.1018,1.0623,1.1479
bg:seam,income,1.5-99,rr,,,,,1.2237,1.1506,1.3054
bg:facing,income,>=1.0,share into richer,,,,,0.4922,1895,1965
place:limit,income vs county,poorer by >25%,rr,0.687,0.3684,0.3299,0.4075,1.9483,1.8027,2.105
place:limit,income vs county,within 25%,rr,0.7347,0.3348,0.3052,0.3654,1.7167,1.6216,1.8361
place:limit,income vs county,richer by 25-50%,rr,0.7711,0.3082,0.252,0.3652,1.695,1.4926,1.9211
place:limit,income vs county,richer by >50%,rr,0.8597,0.2124,0.1655,0.2659,2.4059,2.1173,2.7983
